model_name,gpu_name,mean_duration,relevance_pass_rate,bert_raw_avg,bert_pass_rate,mpnet_raw_avg,mpnet_pass_rate,dpo_mean,dpo_norm_mean,rlhf_mean,rlhf_mean_norm,reciprocate_reward_mean,reciprocate_reward_mean_norm,total_reward,total_reward_excluding_relevance
benchmark,,nan,1,,100,,100,-12.129820823669434,.43347,1.420127272605896,.69689,5.359351634979248,.7486,.6334,.6334
Synthia-13B-GPTQ,RTX_3090,3.5135041185576847,0.8703560371517027,-0.017295942612150172,0.8858359133126935,0.6372939683987122,0.9100232198142415,-12.213398558436532,0.4263535853383065,-0.17604123215489562,0.282434447440708,0.10144716095744159,0.28134483085143674,0.28311228727588256,0.32528330383320614
airoboros-l2-13b-gpt4-m2.0-GPTQ,RTX_4090,4.1813232514639544,0.8354196593474246,-0.018536838933442445,0.8409603940077981,0.6006702045422134,0.8598399343320337,-12.306384510311922,0.4110961219453724,-0.10009809393318919,0.29970070815125505,1.4466764599531412,0.35011674425525147,0.2909300034156219,0.3482441431206892
Baichuan2-13B-Chat-GPTQ,RTX_4090,nan,,,,,,,,,,,,,
Llama2-13B-MegaCode2-OASST-GPTQ,RTX_4090,5.606836210771736,0.9959839357429718,-0.012325471831882049,0.9959839357429718,0.728794385750131,1.0,-10.102244917168674,0.6906077000031988,-0.4133287482001037,0.24654443951016927,-2.7064921009925103,0.14471315583550787,0.3478115665614802,0.34921403255567973
LosslessMegaCoder-Llama2-13B-Mini-GPTQ,RTX_4090,5.636000525041756,0.9919678714859438,-0.012200011611807608,0.9959839357429718,0.7304625890730135,0.9919678714859438,-10.071104731425702,0.6926057068219625,-0.13720262492141952,0.28493025599713306,-2.336592268847261,0.15306656571277175,0.3647205810736569,0.36767378415927354
YuLan-Chat-2-13B-GPTQ,RTX_4090,2.8438528369229483,0.8875502008032129,-0.017992652589866626,0.8875502008032129,0.6506219088215844,0.9477911646586346,-12.340988955823294,0.41263952480262545,-0.20797832846551775,0.2753866161687307,0.9095220781559319,0.3206658590749564,0.2930213808048172,0.3301462616307669
Samantha-1.11-13B-GPTQ,RTX_4090,5.295286898632126,0.7710843373493976,-0.018272379927531612,0.7911646586345381,0.5642002782210274,0.7951807228915663,-11.397017758534137,0.5266742566263819,-0.4214208849786868,0.2541971537004034,-0.3206901748975118,0.23376641108329038,0.2543121440332053,0.3298110617930631
WizardLM-1.0-Uncensored-Llama2-13B-GPTQ,RTX_4090,3.285932735443115,0.788,-0.02014763539284463,0.792,0.5861563003435731,0.86,-12.592265625,0.3790786632299423,-0.23039225405827166,0.26383160376548764,0.6659566036940832,0.28905878591537476,0.2411074144848347,0.3059738762497902
Pygmalion-2-13B-GPTQ,RTX_4090,3.7388517474463594,0.6900890437475803,-0.021515574882106543,0.6993805652342238,0.5387178232306178,0.7491289198606271,-12.437368430603948,0.3889883635143785,-0.6644312047948621,0.2113055735941871,-0.6821674106164534,0.1986882908892087,0.17999263062910323,0.260825225758751
Hermes-LLongMA-2-13B-8K-GPTQ,RTX_4090,nan,,,,,,,,,,,,,
